source	default_branch	tree_status	file_count	tree_sha256
beydemirfurkan/opencode-gladio	main	ok	116	bf3403567e7aca354ba6fe0059c30901504d9603e42da148cc81ce0462438222
cobusgreyling/grok-build-arsenal	main	ok	71	2fa86da6e59cb06ef1356d7ac893f6b2225ff6b6b60119371daa5f6351a9d397
410979729/proofrail-openclaw	main	ok	59	5d62e0e3f382535d07324b734c53812ac88b464cbf33c72cb9d126ebff07795d
peter-olom/manor	main	ok	333	3b94ed50a57d22ddc536ae1245599595aa60f810f7625ae48135e4a50e9ee4c6
framein-dev/framein	main	ok	161	80b5b48a471e473fa16d99a56e9745b7147f20057ded149d5028961f23da831d
akml2013/agent-harness-java	main	ok	210	e16cee06222812d917a9b1653ecae63edbb1904435d9ee5dac3e4a865e166e70
xiaonancs/codex-source-analysis	main	ok	37	df1e1edaadd705d212d677b27caec3efb1d41836677569ca4ea09ab38cf26fc4
Jonhvmp/leopold	main	ok	196	61fc7d7a242e2e7ddb7a265b8a7922cda7c9462ecb64127e412978a0dc51c9b8
EthanSK/agent-bridge	main	ok	148	d086767616fd267c0d70956f32d44e5715520f5e0fc9433577fd708ee13d6aa2
sky54laozhu/building-an-agent-harness	master	ok	117	c4679dd3877e5d0705b6fa55d8a8cf7224b35eb1409940ce98e43ecf11efb2e7
BeamusWayne/HarnessTemplates	main	ok	58	2037cb9e29942516b7e011a2a82cbe2f77465d206e15193810b97bf8c578b538
memtomem/memtomem-stm	main	ok	296	c56b0b4e13d443e1ba5c51ef5cb7afdf5b2b19d253706d580ec8816ab5612d21
VibeCodingNights/agent-harnesses	main	ok	26	74c6a491bb158a5e09c13173f4526f3b8e853e3f851bbbb0439057283e064943
XXY-CH/Aetherion	main	ok	410	91b5682170443d643433e063b3223ce2eebaa465b503fd71f0afb33fa4d42be7
bettyguo/harness-engineer-roadmap	main	ok	115	3465c09cd04c0933546135e5a0796a25aee9f3b5cf275bbe9df27091bf7bcc5b
droidnoob/hew	main	ok	316	fde88d0c1ecfb82e380db607ce49d2d97ec60e4ea21c58a180fc7cf2b09b0a6c
