source	default_branch	tree_status	file_count	tree_sha256
HexamindOrganisation/hexgate	main	ok	492	3d10c334442ba293fa1511c5ced264bc37cda5db19c3a9ae8276697c6e87dce1
joctaTorres/ratchet	main	ok	1304	a1688b89066b0f69daa68418a45c2c4fd7b37536928ecde3eda3e380ead4070f
prakashkagitha/evolving-agent-harnesses	main	ok	239	e0a4a0b6503b9c2e73494f88d7065ad9e047461367e291e889975892e38f60fe
BA-CalderonMorales/agent-harness	main	ok	275	4312b739d22cd0e9e480e0ccf51b9997d82825f5600840f087869385e40bcd10
ianphil/chamber	master	ok	716	01cc1238a0572d023cd6363a2d3544a8dc0ad7384272eac22b96c6870911285d
schalkneethling/skills-autoresearch-flue	main	ok	108	3971d0fd631e86cecb2cf95ae79563e81a8fcbba1ae576788e00fe5c2d8044c4
clark-labs-inc/clark-agent	main	ok	35	5bb8bbe3dd09478bcbb3e5e2bac64ee4a674de41be8152f01994e674d17d21f2
tenurehq/GroundEval	main	ok	54	d0920323abfc10f768dad38fc9d6c3eddc84be44414a4e38ed5b2b3f5dfafefd
ahwurm/localharness	main	ok	308	a7949684d4e0e3960fae078c602ab579def053978937fb2f3ac40ff73ba802a5
AAO-SH/fable-harness	main	ok	28	285e2f40b2821e4426e2be84a2ab89f66abf5650661745065b8a0a328590f6e1
3xcaffeine/frontier-swe-openenv	main	ok	182	8ed968839f76c9de07d2f393034a8c2ed8b88472ea7745d0564cc30f01fa97e0
lobehub/lobehub	canary	ok	12772	5f2d2e3a146eefe5be94d23769b6cfd0eef65d02c3f727edcc632520f42ac3ef
chensheng/opc-harness	main	ok	688	5f347f66061239d85e21975153e07b562e4fed1ae87e695a8059b9bee71d60a6
BitmapAsset/mythos-harness	main	ok	12	c92c669ff459d5f008d4a664c7b4af097896e219278c237b6ecd0cb82c3cdde4
chapzin/codex-harness-mcp	master	ok	87	6ff96f1588a7c08dc123ac25cd0a405f2d805fd9838adf23d1b86f1303f3dba6
Agent-Pattern-Labs/iso	main	ok	709	1c84b2b6f180de381574da2beb9edd8aa65d8c6ce653dbca95961562659da46b
human-again/orbit	master	ok	124	b1abf1e19cff150b1843fac83679698709528d16f9471cfd03e3e5698dc228e0
openexec/openexec	main	ok	1461	fadf5b4f5bd99182c68a649e144f7d1f4113023ab852722cc81c11cc15e9e96d
sky-valley/pi	main	ok	167	36ad3e69dbf226e65c76c787919abd2f4143cb6e6e9342ff96894891eb42c121
monoes/monomind	main	ok	6425	cb3c6706d09b83086c9467186c34fd88c40bc6ad4270b40638d6b07ec576f27f
memtomem/memtomem	main	ok	876	17915b544a7bccb58ec7e03828c6f4e2f072bdc73ce45cfc9a2562ee10f92eee
tomcounsell/ai	main	ok	2115	9114b35feb54610e45370baeed880e9b6f9889b12cab68c0d6c4dd6faa169bd0
epuerta9/vent	main	ok	35	cf00a1945d5b278c042f8014d0d0895c485264f34c190039847334660ef61475
omarismailb/product-wiki	main	ok	165	36bdbb59be36402e01f12108521852811cd116751a89d9d4653cdf800e33e948
huahuadeliaoliao/long-long-run	main	ok	25	79e109078444efa624c1da9d8ec7a2124419cf5f43a4f65f12516b202741d887
Peadarpol/ai-delivery-control	main	ok	304	84cd380e7c43df36ae15d6e7153b9fe0f84024ef613ffe4c41ba1ede0895feba
Nairon-AI/flux	main	ok	294	ce5f5b40e14939a6697864f4a1fac4445d6fe2972d55c0c0385d051c07e1e778
aksika/abtars	dev	ok	559	1cdbcb31820ccc0e6a0f29814e6c8242e90ccdcdb21f22e3aefd507d0672e6d9
xiaonancs/openclaw-study	main	ok	80	591f31b4195abf82e4ad5ef6106f4012556cc3a2a3484f10fedd5ce4207106cd
yfge/agent-harness-skills	main	ok	72	021a4cc161fc91ac8f0af98ed4a93b3c0ffec9601ee00ced9d6c2c5eac9c89cb
alvis-HaoH/gkd	main	ok	25	4198795886457d564bfc33f6948f29ee2382491449a077446ae2681e0eca5f61
m24927605/ait	main	ok	655	6763d402baf38d76862aa760108abfcda953464a50a3b59f6ae2e2745ac4ca0c
23ag1/completely	main	ok	143	29dfc587d85cdd7c84d0598cc17953a1103b52253b3f0d9ea0bc1348ed2cd5ca
hushctl/hush	main	ok	115	4b9c163f5104da38822d39b66d1062747131bec6703d22f09cff08c0025d6d9f
EpisodeYu/HarnessSmith	main	ok	122	41f00bfb6f59f5a33f81566631918b4c18e0716b963edf335dc9044ee1eb7990
HKUDS/AutoMemory	main	ok	25982	e106c1fec72c81fcbaf11ced4147fdd3af72fbd073366ff4dbf41a2689f6c090
Arthurescc/harness-creator	main	ok	10	737e0297e84ed7ce722296f5b47c0c99267a2c48a14441386fdee76fbb488ce4
andykswong/mithic	main	ok	635	f726e2ae63e09fee0ab051558da7c2fc311a242a019004fa6a7d9138925ca83c
senweaver/SenHarness	main	ok	1297	33e143710841780f5868bbd29b175e54058786c14669780e1dfc9c43b0bc31bd
yoshpy-dev/ralph	main	ok	723	13ce1c02701fe169ee41e1284bfad57af5b127b18895ca454cba5c98b9b13158
infoechoes/AutoBCI-Harness	main	ok	115	aaee05a5dbb66f5235d526d740bbbe0dc1e8ba40203a7827b63e419360a2b8bc
