source	default_branch	stars	license	readme_status	word_count	line_count	families	evidence_terms
qwc2869/product-to-tiktok-agent-ralphthon	main	0	NOASSERTION	ok	482	81	runtime_capability_matrix,session_command_center,autonomous_loop_receipts,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	model|status|long-running|prompt|search|plan|workflow|package|check|project
portpowered/you-agent-factory-docs	main	0	MIT	ok	552	46	mailbox_conflict_locks,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	shared|learn|lint|search|plan|workflow|install|check|project
cogimanus/my-harness	main	0	NOASSERTION	ok	147	38	runtime_capability_matrix,session_command_center,skill_memory_hygiene,tool_augmentation,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	OpenCode|web UI|Memory|search|install|ci|Template
meetsoma/website	main	0	NOASSERTION	ok	200	67	agent_catalog_watch,extension_preset_bundle_registry,feedback_session_intake	Curat|install|ci
maisieyang/build-my-own-harness	main	0	NOASSERTION	ok	1259	204	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	catalog|model|Docker|Session|message|loop|judge|trace|prompt|safe|API|spec|workflow|bundle|CI|rules|eval|query
dunkeln/murdock	mucho	0	NOASSERTION	ok	1123	277	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	list|model|ENVIRONMENT|preview|conflict|loop|candidate|provenance|context|safe|MCP|task|workflow|install|ci|project
yufengtianyufeng/agent-harness-workflow	main	0	MIT	ok	816	174	agent_catalog_watch,runtime_capability_matrix,session_command_center,mailbox_conflict_locks,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|CLAUDE|status|shared|history|context|security|tool|task|Workflow|Install|check|AGENTS.md|score|Topic
354685856-sn/claude-code-skills	main	0	MIT	ok	422	93	agent_catalog_watch,runtime_capability_matrix,session_command_center,mailbox_conflict_locks,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake	list|Claude|status|shared|Skill|security|API|task|workflow|install|check
zachxtr/portable-agent-harness	main	0	NOASSERTION	ok	958	189	runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	Cursor|session|message|loop|grading|history|memory|safe|API|archive|state|install|ci|template|topic
CheemsaDoge/tcs-cosheaf	main	0	Apache-2.0	ok	3271	553	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|provider|environment|status|shared|loop|verifier|provenance|knowledge|permission|search|Plan|workflow|Package|ci|template|eval|query
thomas0124/ralph	main	0	MIT	ok	268	132	runtime_capability_matrix,skill_memory_hygiene,security_credential_egress,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Claude|skill|lint|spec|install|check|rules
